State,Service,Bedrooms,Bathrooms,Price
GA,Regular Clean,1,1,150
GA,Regular Clean,2,1,180
GA,Regular Clean,2,2,200
GA,Regular Clean,3,1,210
GA,Regular Clean,3,2,230
GA,Regular Clean,3,3,260
GA,Regular Clean,4,2,280
GA,Regular Clean,4,3,310
GA,Regular Clean,4,4,340
GA,Regular Clean,5,3,350
GA,Regular Clean,5,4,380
GA,Deep Clean,1,1,250
GA,Deep Clean,2,1,320
GA,Deep Clean,2,2,350
GA,Deep Clean,3,1,340
GA,Deep Clean,3,2,380
GA,Deep Clean,3,3,420
GA,Deep Clean,4,2,450
GA,Deep Clean,4,3,500
GA,Deep Clean,4,4,550
GA,Deep Clean,5,3,560
GA,Deep Clean,5,4,620
GA,Move In,1,1,280
GA,Move In,2,1,350
GA,Move In,2,2,380
GA,Move In,3,2,420
GA,Move In,3,3,460
GA,Move In,4,2,480
GA,Move In,4,3,530
GA,Move Out,1,1,280
GA,Move Out,2,1,350
GA,Move Out,2,2,380
GA,Move Out,3,2,420
GA,Move Out,3,3,460
GA,Move Out,4,2,480
GA,Move Out,4,3,530
